mile_marker,latitude,longitude
0,34.6267694,-84.1938787
50,34.80467470215447,-83.74612235349068
100,35.07970562895158,-83.5084521560492
150,35.37616344454822,-83.75394919772074
200,35.60484468057445,-83.45120047242118
250,35.80164850083633,-82.94669920911879
300,36.03991809645777,-82.60474974513365
350,36.135580224450344,-82.29104475961954
400,36.220669046303684,-82.05111844602418
450,36.581558733476314,-81.88665645170124
500,36.69927968940119,-81.51301148498625
550,37.011016866691804,-81.41813234948
600,37.20035434412972,-80.87787785071144
650,37.41661945557164,-80.50310650990141
700,37.39112919610374,-80.0226570645376
750,37.51111542892165,-79.55572067446576
800,37.77118286889423,-79.18381607860528
850,38.060553385351895,-78.81441528428621
900,38.442680800917984,-78.47478470302725
950,38.850327025930966,-78.1627691975868
1000,39.264683206128794,-77.76046668662808
1050,39.75939787934859,-77.48928055758812
1100,40.1376419275552,-77.11556345449779
1150,40.47053029139605,-76.67381521104333
1200,40.58776537046384,-75.9576625157935
1250,40.83352208154493,-75.3713610176376
1300,41.19538915773809,-74.75915225922377
1350,41.27395592231544,-74.22062800598982
1400,41.517050005093736,-73.7785570427337
1450,41.84846066992037,-73.38269028633314
1500,42.204901075040524,-73.27125328867399
1550,42.62195967212127,-73.18627534906311
1600,43.08556620315931,-72.92484032673089
1650,43.56265167939847,-72.85182659045695
1700,43.716062805237016,-72.35206115936188
1750,44.01955624326356,-71.8372501100774
1800,44.23163655610128,-71.3554950431366
1850,44.48732522216903,-71.0111291881436
1900,44.85638751594249,-70.58864831837685
1950,45.15182025726157,-70.16732004145769
2000,45.312674443588264,-69.54537190429274
2050,45.623265341333024,-69.12204107668649
2100,45.87653330053345,-69.03452237966401
