mile_marker,latitude,longitude
0,31.333673,-110.28275728
25,31.445190244027717,-110.48764167557775
50,31.54132332659455,-110.75284874942429
75,31.747208641170875,-110.74165754599967
100,31.932910485969536,-110.66755525157187
125,32.14732291287173,-110.64249438505736
150,32.32269307748364,-110.6162791009386
175,32.43254812432528,-110.7767003523398
200,32.66206926050086,-110.73367954880146
225,32.863769982659115,-110.87202294544751
250,33.07759140410058,-110.98708341627757
275,33.164635019140675,-111.14047072804502
300,33.38193876535596,-111.13994837
325,33.60436348167301,-111.11389088564417
350,33.700524756320824,-111.32299039136008
375,33.90524149633164,-111.49451546453359
400,34.0810298893293,-111.4804994106893
425,34.26497977929657,-111.51878418942465
450,34.37992828263809,-111.37952601088357
475,34.56992858876095,-111.21542455212186
500,34.77211452319394,-111.37016986220698
525,34.98655701565637,-111.47699718070413
550,35.15399447013543,-111.5713711909079
575,35.27336597001763,-111.65294968285849
600,35.49586904328026,-111.70115353842114
625,35.731421369739884,-111.79922972886362
650,35.95638564001455,-111.96883852418176
675,36.091846264394434,-112.08926247285159
700,36.33059223870985,-112.11351860897149
725,36.57400450544719,-112.1741652626232
750,36.85159154641186,-112.15114141744795
