mile_marker,latitude,longitude
0,37.00111628,-112.03499079
25,36.74830706544124,-112.18115096840049
50,36.48767156102128,-112.12080143465798
75,36.220743485518724,-112.06112592437671
100,36.017496385907705,-112.12533190642895
125,35.900769395769245,-111.88813229899488
150,35.63071322643019,-111.81567797900257
175,35.3841134778783,-111.71692371
200,35.2511522377753,-111.56422587014403
225,35.112490776009906,-111.54718762248166
250,34.905200317864185,-111.48008050742622
275,34.707435861321436,-111.29005720607756
300,34.48192519406816,-111.23631075317785
325,34.353090202387435,-111.4740902064212
350,34.18968400987847,-111.54176698490053
375,34.015454543508724,-111.49577651562085
400,33.83398252571473,-111.41718110056976
425,33.66182692820201,-111.25807725130886
450,33.520476619658886,-111.12591693849703
475,33.29938279063992,-111.16733038860473
500,33.105933744568866,-111.11715408848517
525,33.00343993214393,-110.99902184252554
550,32.80455351026206,-110.79125450730842
575,32.58007864217696,-110.72428135758263
600,32.37567290490027,-110.79873503544317
625,32.25530700999451,-110.54274248560478
650,32.06330411244169,-110.62421111525013
675,31.870100113742307,-110.70565847688994
700,31.68206939171609,-110.79862338179294
725,31.526742857377695,-110.64375646215835
750,31.442404669641665,-110.398501183395
