mile_marker,latitude,longitude
0,48.998693,-113.906121
50,48.66941143084962,-113.61801648290717
100,48.443544200273706,-113.23703828366814
150,48.127577509211235,-113.03414815823864
200,47.72698260694352,-113.07221588134257
250,47.34992916940716,-112.74947129870786
300,46.98844443213163,-112.33514450732339
350,46.643106203014256,-112.30548169657662
400,46.30926325120454,-112.56577331313599
450,45.99332087387577,-112.44391289997327
500,45.88695692790157,-112.73562574721625
550,46.046042171431296,-113.29442051204215
600,45.802067399477785,-113.76808276183306
650,45.428688664340775,-113.77466203607932
700,45.105900498200384,-113.5089547956007
750,44.75660914520757,-113.13850394235975
800,44.48023949780431,-112.78439556393928
850,44.52499840862188,-112.09620716481108
900,44.60383936134629,-111.52272179898428
950,44.5441307949427,-111.22795963327216
1000,44.33502321353313,-110.71954594839534
1050,44.035796464957535,-110.1719736220793
1100,43.62946064974156,-109.99835786901345
1150,43.19948254039124,-109.74568061290513
1200,42.78001401288267,-109.30110727065633
1250,42.464163817873484,-108.83185000378187
1300,42.38521263626979,-108.06686391308803
1350,41.99873956723465,-107.40538776579288
1400,41.496275267467354,-107.47725652641266
1450,41.17002547837738,-106.98848003652137
1500,40.72694854228989,-106.70559135893674
1550,40.40312783753677,-106.45650105961401
1600,40.347959470384374,-105.94015664299104
1650,40.08844369793987,-105.73565313221638
1700,39.75600725385731,-105.88222370247664
1750,39.530008242090304,-105.93269261030744
1800,39.35843049687812,-106.31982032406286
1850,38.99052038559743,-106.43251079611309
1900,38.59918408298828,-106.346443396014
1950,38.31420036572362,-106.5078873473376
2000,37.97057268234614,-106.9631049253429
2050,37.77175140505321,-107.55650777760319
2100,37.607843420934024,-107.11240828483643
2150,37.40425200132116,-106.65923376890875
2200,37.01885155450178,-106.452258604842
2250,36.646214878150644,-106.19794450135356
2300,36.34372018794624,-106.58014356614345
2350,36.00404910163078,-106.98802489761488
2400,35.55157710759729,-107.32706776997343
2450,35.1830296450313,-107.79536684460221
2500,34.955702998451365,-108.14439801971614
2550,34.609281496758435,-108.34846617877069
2600,34.25814308820053,-108.38428019070798
2650,33.774787333381,-108.47480767366486
2700,33.68035704125534,-108.0356511516021
2750,33.34468174675776,-107.84261256271972
2800,33.00618578936175,-108.11582028651256
2850,32.768019845289004,-108.41142578645673
2900,32.43155596025165,-108.5210596285106
2950,32.012392087824054,-108.48233587870094
