mile_marker,latitude,longitude
0,37.3313829,-107.9030847
25,37.4862505727854,-108.03528375742358
50,37.709126733501385,-107.93810675663188
75,37.73987515606391,-107.68156761345062
100,37.845996804033334,-107.48815959761927
125,37.9379047308178,-107.17134904801685
150,37.993684642889534,-106.83162321071308
175,38.1796500535786,-106.60453221972242
200,38.287456462839856,-106.3833031243304
225,38.4840152383739,-106.27764210959461
250,38.70705899227338,-106.19456346783649
275,38.88033242453775,-106.23751339857759
300,39.075318553800685,-106.30386922225678
325,39.28746195317269,-106.43949174382124
350,39.42909803163609,-106.22615365750775
375,39.54084561846035,-106.05242902435181
400,39.43041885721941,-105.8660712522572
425,39.338364645068516,-105.57479978268863
450,39.349025508138546,-105.25610820429279
475,39.485300025041056,-105.11799971860013
