mile_marker,latitude,longitude
0,39.4909904,-105.0936553
25,39.36201977148401,-105.23861271491427
50,39.32469963014808,-105.55141696537109
75,39.4296061188971,-105.84301718868699
100,39.54167195312498,-106.03467267270844
125,39.442193124559765,-106.22167279706635
150,39.29541835036723,-106.42741782626949
175,39.09199518804006,-106.31997731539161
200,38.89968442371353,-106.24049550479958
225,38.718793236671864,-106.19218047763722
250,38.50533853314432,-106.26963371953084
275,38.300662829198586,-106.36523838691805
300,38.20103633028243,-106.60407455549766
325,38.014395460664986,-106.8297612292062
350,37.9397280266284,-107.146405751198
375,37.843648446701266,-107.46657228974493
400,37.73959663855986,-107.66721087490113
425,37.71162492977228,-107.91592624692126
450,37.50510678933855,-108.0382503609837
475,37.343700321065754,-107.92497411854939
