mile_marker,latitude,longitude
0,49.00030170000008,-120.80210519999996
50,48.583588305316844,-120.73335493781688
100,48.19703522650248,-120.95131955003603
150,48.01605520398731,-121.12908753648647
200,47.64974321276582,-121.14264446501326
250,47.44591726006259,-121.38586686899673
300,47.09983643951687,-121.39753886302456
350,46.655902801408125,-121.41079346017268
400,46.27993888677121,-121.5066762758704
450,45.89330496651107,-121.78486965904425
500,45.65983671476567,-121.87114180368394
550,45.308183551644284,-121.68942806833445
600,44.798876133248875,-121.81290469881768
650,44.3531097857158,-121.86717070865123
700,43.929553444347306,-121.8971116835537
750,43.487177890453154,-122.13571167871868
800,43.02780550674756,-122.09524212469074
850,42.57867768399121,-122.22766206799199
900,42.15665162129049,-122.48065488055289
950,41.996531899824255,-122.91167496537823
1000,41.71041942746035,-123.23784117398122
1050,41.30688326468502,-122.9739240078357
1100,41.33943024537068,-122.53329436202712
1150,41.14159171426223,-122.21023847617687
1200,41.1142238864628,-121.77559251182325
1250,40.77484433998102,-121.40005731090547
1300,40.328456315478476,-121.3669339978571
1350,40.00664118305566,-121.25390473018903
1400,39.78453143584754,-120.92092698761341
1450,39.52522888298335,-120.56481648375038
1500,39.16974065602249,-120.26175609770075
1550,38.77011973541437,-120.04968574078892
1600,38.46185348599364,-119.72550627013698
1650,38.058548197945,-119.60806802552393
1700,37.79052375289587,-119.26166534772351
1750,37.45611923006645,-118.91888875402051
1800,37.116030081294575,-118.63902979932661
1850,36.74927244671162,-118.38778601591233
1900,36.36265357838446,-118.12820446346288
1950,35.870583298956106,-118.06456049862612
2000,35.567038424634205,-118.12353278713188
2050,35.241325017070665,-118.24737747471049
2100,34.89546291069496,-118.45133345272585
2150,34.651206457833624,-118.44544947287741
2200,34.37914548410563,-118.22198130007881
2250,34.341431448008606,-117.81153236724369
2300,34.287983130406246,-117.37340436010568
2350,34.28523926564613,-116.92450650448275
2400,34.055568367051045,-116.67196479786696
2450,33.761113636667574,-116.66254317806246
2500,33.36886539208821,-116.60214004837042
2550,33.06653406793704,-116.47439448243306
2600,32.695562349099966,-116.49568216143132
